id,periodStartUnix,token0Price,token1Price,liquidity,feesUSD,token1PriceRatio
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455907,1641265200,0.0002677438591796278755407678414119809,3734.91292410596624034274567468231,3678011997691638601,0,13949574.55065378
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455908,1641268800,0.0002673767517163640929161560581425312,3740.040948140509638835590278446573,3678011997691638601,0,13987906.29376776
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455909,1641272400,0.0002674308280911592805424844161542688,3739.284685829598890881210945477093,3678246740578007163,0,13982249.961679762
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455910,1641276000,0.0002665909107492064262606393546912584,3751.065620315702181796537826485397,3680223443045805074,0,14070493.287914423
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455911,1641279600,0.0002662140179993399964375626759780252,3756.376195044992790990384494095219,3679402818252775793,0,14110362.118700698
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455912,1641283200,0.0002652521529559841241046927645189767,3769.997675253326783739799546313895,3733863148450724703,0,14212882.471415486
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455913,1641286800,0.0002652247756882564442369798063551628,3770.386825306975829148185978067901,3731764450311929170,0,14215816.812448416
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455914,1641290400,0.0002631605557207869608473204977816273,3799.961575780371965155153019134306,3553355618058704474,0,14439707.977407249
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455915,1641294000,0.0002613790807099658605488297946023873,3825.860880999999645268975429672407,13192548600434214592,0,14637211.480766093
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455916,1641297600,0.0002612278431369964160028865736888101,3828.075858956456364935777366159922,13192548600434214592,0,14654164.78192521
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455917,1641301200,0.0002588339588855747111261552020559322,3863.480681999999440167620539560335,13274053926156121286,0,14926482.980187181
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455918,1641304800,0.0002572541702929662955141663414359937,3887.206177692589419334271044352149,13187318052217933448,0,15110371.86789143
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455919,1641308400,0.0002592815919270741343509117149297217,3856.810630356131313260860925182126,13274373038724921417,0,14874988.238428058
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455920,1641312000,0.0002597562633559010114137956940078339,3849.762801021916169979289130490443,13274373038724921417,0,14820673.624132108
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455921,1641315600,0.0002597582925060089005884475337655004,3849.732727885356494426617590967455,13251382919434824294,0,14820442.076151628
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455922,1641319200,0.0002645825490344189872313384745264209,3779.538762663867538699702851708627,3744022870688938117,0,14284913.25847872
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455923,1641322800,0.0002621697863924892139646607800552357,3814.322061135297003358512478451232,13189313969136496182,0,14549052.786063423
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455924,1641326400,0.000262074527434042814609693555251472,3815.708492507626069976191114245772,13189313969136496182,0,14559631.29979482
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455925,1641330000,0.0002619737079276622739750501543733893,3817.176952261659405002035448659394,13189313969136496182,0,14570839.884877611
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455926,1641333600,0.0002619473578208026896847629632022296,3817.560934071710130972859055221998,13189313969136496182,0,14573771.48535047
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455927,1641337200,0.0002634071463389180745198931305398489,3796.404212637913757106450480126241,3600932139755623773,0,14412684.945734896
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455928,1641340800,0.0002633398964217651370266404805783505,3797.373712027288702223259677083844,3600932139755623773,0,14420047.10879591
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36-455929,1641344400,0.0002633136755699886514402691951363436,3797.751855597034758348445843906878,3600932139755623773,0,14422919.156690719
