id,periodStartUnix,token0Price,token1Price,liquidity,feesUSD
0x76aec004c24b7fd866073ad75175617e41c2d52d-455132,1638475200,0.002173061597552079738632654937419691,460.180236550351138197105059355388,58614360319033823916,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455133,1638478800,0.00210501442566743020044355049724564,475.0561268400491811552356586498134,58614360319033823916,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455135,1638486000,0.002028926607966690275886982968394329,492.8714503883214941974961521531073,58614360319033823916,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455136,1638489600,0.002028926607966690275886982968394329,492.8714503883214941974961521531073,58614360319033823916,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455137,1638493200,0.002253453629296149008595719011970718,443.7632915980362252850549371185267,443202690074941309574,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455138,1638496800,0.001922362421959532274332133537848358,520.1932729108720783465391530581917,58614360319033823916,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455140,1638504000,0.002142534844359945677788361953874985,466.736866675667507685868249693301,443202690074941309574,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455141,1638507600,0.002086508906361339454040810604565947,479.2694615159342312615075107192455,443202690074941309574,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455142,1638511200,0.002040846296715914361834869917410087,489.9928042641811543026317263147853,443202690074941309574,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455143,1638514800,0.001839252016410326898138226301562897,543.6992815980175933986326630149066,618566586878501641328,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455144,1638518400,0.00176225612718890998146075874475815,567.4544038017705238473440267235626,618566586878501641328,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455146,1638525600,0.001706385820563894419115271362679072,586.0339367268879049097793444627213,618566586878501641328,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455147,1638529200,0.001677787630488857419758377455896043,596.0229899350430537050040572473421,701156371735216455075,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455148,1638532800,0.001696462916219895084803678088903413,589.4617503506809685064241545552196,701156371735216455075,0
0x76aec004c24b7fd866073ad75175617e41c2d52d-455149,1638536400,0.00177401132512073344785529597767875,563.6942593542593357074103479028322,701156371735216455075,0
