id,periodStartUnix,token0Price,token1Price,liquidity,feesUSD
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450619,1622228400,0,0,0,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450624,1622246400,1.001103000000000038332126108167031,0.9988982152685587414183232325770962,1005058332069516001,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450675,1622430000,1.001103000000000038332126108167031,0.9988982152685587414183232325770962,1090001561664845953,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450678,1622440800,1.00081132731693931275503036374143,0.9991893304014510022730839375864649,95189458393669910496455573,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450687,1622473200,1.000794869165982744158837833793021,0.9992057621491953168868150393543774,95189458393669910496455573,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450697,1622509200,1.000777869424477474839027168843509,0.9992227351860560143606423019876576,95189458393669910496455573,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450702,1622527200,1.000777869424477474839027168843509,0.9992227351860560143606423019876576,95189458393669910496455573,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450704,1622534400,1.000768057428873625686792500110016,0.9992325320306016932391376596713603,105246022450903058443898010,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450726,1622613600,1.000768057428873625686792500110016,0.9992325320306016932391376596713603,105246022450903058443898010,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450750,1622700000,1.000768057428873625686792500110016,0.9992325320306016932391376596713603,105990545881219573063220396,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450759,1622732400,1.00095333467070634268889883559654,0.9990475733106778941330502527967841,107420574189648958203366410,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450771,1622775600,1.001216644365925269088134713816271,0.9987848340588706701881993210865584,107420574189648958203366410,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450774,1622786400,1.001216644365925269088134713816271,0.9987848340588706701881993210865584,107420574189648958203366410,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450783,1622818800,1.00047204752765216805949591930977,0.999528175196080007342010937128386,107522999276389967987427305,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450798,1622872800,1.00047204752765216805949591930977,0.999528175196080007342010937128386,107522999276389967987427305,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450818,1622944800,1.000521762657612119041860597932191,0.9994785094366901131657123818855536,107535122851028147103282506,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450822,1622959200,1.000521762657612119041860597932191,0.9994785094366901131657123818855536,107535122851028147103282506,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450846,1623045600,1.000521762657612119041860597932191,0.9994785094366901131657123818855536,107798849451598246645876801,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450870,1623132000,1.000521762657612119041860597932191,0.9994785094366901131657123818855536,107812100561831189904112309,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450871,1623135600,1.000526542655213278906225469089558,0.9994737344460488458215776825839211,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450959,1623452400,1.000535591779282547748090521673484,0.9994646949257146477201339742328454,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-450968,1623484800,1.001277839195176358149529051435108,0.9987237915939461110548002071514374,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451032,1623715200,1.001273057403388724694981596721888,0.998728561211174345397941249213194,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451102,1623967200,1.001277605434729943102203848932207,0.9987240247581735951660230779235489,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451121,1624035600,1.001281908581439822683875248352731,0.9987197326043212355372510727606672,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451163,1624186800,1.001285986057150010879653082267249,0.9987156655790081025327360545072197,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451193,1624294800,1.001301197086927704059596661994272,0.9987004938267194132081496870451502,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451294,1624658400,1.00131549939671412293392682091454,0.998686228868416895071225780680382,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451352,1624867200,1.00130785274547552857271418321086,0.9986938554991958359170193992590718,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451494,1625378400,1.001303632821469121297950989805192,0.9986980644244785667323527136584193,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451699,1626116400,1.001311440662595742913660390602776,0.9986902769614537450966068077972214,107812767354768109655310131,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451915,1626894000,1.015682930793321381719934311771865,0.9845592257998547977992998204523583,47168111962945009651411939,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451916,1626897600,1.018011971896966113226026299300457,0.982306718983468771289711633940672,47168111962945009651411939,0
0x4d63c8ec8e10478dc27d9f0c3478dc72947e00ca-451926,1626933600,1.008800117196836794518920481423408,0.9912766493115704920839679097188745,7614554104546053563192040,0
