id,periodStartUnix,token0Price,token1Price,liquidity,feesUSD
0x2c6099a4079c0a9816abe7730a608dcd84516f80-454629,1636664400,1176432.778833632172410937915447264,0.000000850027318170651889252915685679673,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-454630,1636668000,1176474.267094871888230616935968572,0.0000008499973420322666072987666354501741,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-454716,1636977600,1176451.284113546687146207277706983,0.000000850013947456819412369486482618799,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-454756,1637121600,1176480.921259191175786691111850894,0.0000008499925344558047750818480147541027,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-454799,1637276400,1176531.455806478359946352166658731,0.0000008499560254549495734175439562289765,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-454891,1637607600,1176472.522138745254160410299026269,0.0000008499986027570533668821880059857494,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-454925,1637730000,1176470.459540578622206643478629096,0.0000008500000929819421167975989812498533,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-454930,1637748000,1176469.746122911254715752338426727,0.0000008500006084266321275287003896003772,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455055,1638198000,1176520.280430192111784770780674235,0.0000008499640989055897526480075338481827,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455061,1638219600,1176525.333920612074682300716054362,0.0000008499604480828600640871540419301199,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455102,1638367200,1176522.361143301536775493656287902,0.00000084996259572001373447047846194435,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455124,1638446400,1176527.414638190121251440808132984,0.0000008499589449069689062859990578739155,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455126,1638453600,1176524.739131006071418142609284216,0.0000008499608777785759459012214601027071,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455152,1638547200,1176521.766355949852632928399447546,0.0000008499630254162724825948012543291893,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455174,1638626400,1176518.793592160775212515251563755,0.0000008499651730566822864334095985530499,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455175,1638630000,1176519.298940395063971446279604195,0.0000008499648079726587621455857416756681,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455200,1638720000,1176524.352428707139279819605374471,0.0000008499611571453606289836041082209196,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455220,1638792000,1176494.885308182294681318909571814,0.0000008499824457273781172766399236271418,42799025687824606551744940,0
0x2c6099a4079c0a9816abe7730a608dcd84516f80-455222,1638799200,1176488.939995633616585821460962359,0.0000008499867410599808681656080583780683,42799025687824606551744940,0
