id,periodStartUnix,token0Price,token1Price,liquidity,feesUSD
0x39529e96c28807655b5856b3d342c6225111770e-456897,1644829200,0,0,0,0
0x39529e96c28807655b5856b3d342c6225111770e-456899,1644836400,1.000096699870532654176327398175959,0.9999033094794281668548729911540631,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456907,1644865200,1.000090383733107351074215857921615,0.9999096244353735615479558780804629,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456910,1644876000,1.000030500591295601914806130745055,0.9999695003389620940567567443296377,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456912,1644883200,1.000022037386091715552201396116947,0.9999779630995439680620769423536797,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456914,1644890400,1.000021563120534060639559027711432,0.9999784373444240805784261974816214,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456920,1644912000,1.000022745346849893100019201457403,0.9999772551704891431661039043641523,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456931,1644951600,0.9999893926687622292833558412187775,1.00001060744375444020601364693202,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456949,1645016400,0.9998659004650274130458093294768874,1.000134117520069659972190827922814,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456952,1645027200,0.9998619080721645930860916761566358,1.000138110999849631425106217690712,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456956,1645041600,0.9998419214836645312259527306055569,1.000158103509103615304835264201755,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456957,1645045200,0.9998419174940822920110264792032867,1.000158107499947504074301902602612,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456958,1645048800,0.9998109394663959012091668741973394,1.000189096284248501364842279668243,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456961,1645059600,0.9998092794006087599871259941059288,1.000190756980676932780682996340437,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456964,1645070400,0.9998097488267253711366464754615666,1.000190287375671109642030823594684,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456976,1645113600,0.9998075696805004183601265591857459,1.000192467356054400427886492511287,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-456977,1645117200,0.9998081913846225822378057960952633,1.000191845412980448050823366087777,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457002,1645207200,0.9998090959205867247225417863062892,1.000190940530739518787482060546416,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457011,1645239600,0.9998082903819705002975969567928463,1.000191746377654318351971427703031,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457016,1645257600,0.9998085568881200995288517875043024,1.000191479769362809332993898369542,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457021,1645275600,0.9998006007269577197427135834835708,1.000199439041042080297594132625462,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457023,1645282800,0.9997895692218721753985099142321071,1.00021047506856027824807348666474,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457024,1645286400,0.9997818347467900397836868246305639,1.000218212859673744608322326811771,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457034,1645322400,0.9997838336325999379845462899667921,1.000216213105401640974909809110724,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457040,1645344000,0.9997865143345897478127606418328437,1.000213531251271515770542068424369,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457042,1645351200,0.9998664713128093001482684367651191,1.000133546519482125187129234738489,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457053,1645390800,0.9998522552409729496419024167557568,1.000147766590766395387948669521959,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457054,1645394400,0.999852320340876640728985698737395,1.000147701471626341067584447394686,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457058,1645408800,0.9998301357161291764130569836624854,1.000169893142647834024947044579725,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457059,1645412400,0.9998458068877637752995807791296355,1.000154216891418671941379744253998,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457076,1645473600,0.9998444200825044597391922511914439,1.000155604126372683288494205505485,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457078,1645480800,0.9998414221346795394012250289241927,1.000158603016248210626343721393946,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457079,1645484400,0.9998283780493714518891313813355282,1.000171651409778322406797145983606,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457087,1645513200,0.9998663199253515663133602667378165,1.000133697947400022464003251640906,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457091,1645527600,0.9998667986472565134929603061291629,1.000133219097707512414395473670287,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457095,1645542000,0.9998661502474459896947906797801326,1.000133867670708609634342248678136,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457101,1645563600,0.9998667499382646769868921537438938,1.000133267819680522774662799758568,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457107,1645585200,0.9998672572567615802696483342868434,1.000132760366213624264051161261283,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457111,1645599600,0.9998669774381407951057130471598551,1.000133040259215316128330622988767,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457118,1645624800,0.9998709753819827438775176145401243,1.000129041267517506031258298822293,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457121,1645635600,0.9998699707985347820427291521110145,1.000130046111257218390269847283958,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457122,1645639200,0.9998737123976255889486193576229383,1.00012630355294728413337231071764,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457123,1645642800,0.9998685396718830243960037318969223,1.000131477612207016374845906619764,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457124,1645646400,0.999866497815150233327289967665865,1.00013352001006283122351028565154,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457126,1645653600,0.9998676746088077776087489213454445,1.000132342903518702018040807869204,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457127,1645657200,0.9998722788511536983045767155350704,1.000127737463621906197952867609769,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457131,1645671600,0.9998688305309987732156569048077417,1.000131186676687947978095842631033,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457132,1645675200,0.999866769101262588052802233042114,1.000133248651575016834952672230156,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457134,1645682400,0.9998592453806453159954462761923776,1.000140774434006557468633715180374,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457140,1645704000,0.9998823101081695271412982264402926,1.000117703744371415972276134429602,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457148,1645732800,0.9998824299735888058399526979761959,1.000117583850747632089064195035433,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457151,1645743600,0.9999082170511140381572654952919508,1.000091791373768928648531320020175,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457152,1645747200,0.9999122150774028501717209308654506,1.00008779262946633213050038119251,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457154,1645754400,0.9999132145852239320394409446354112,1.000086792947137984967925098806905,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457158,1645768800,0.9999298235168267054607632852916995,1.00007018140825771021455201214759,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457159,1645772400,1.000200764853169961337541024324856,0.9997992754452657974804956761419629,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457160,1645776000,1.000147007284192869838484704351637,0.9998530143237722076617358934832928,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457164,1645790400,1.000146433955490940988183886095928,0.9998535874842728703150218367264205,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457167,1645801200,1.000141540070060248578116611749707,0.9998584799606960294350095780054067,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457182,1645855200,1.000141987900847391405000950947164,0.9998580322568544458738690836420094,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457184,1645862400,1.000082010082486072609236019080885,0.9999179966426160305849870813603889,10003487113741191464208,0
0x39529e96c28807655b5856b3d342c6225111770e-457185,1645866000,1.000006780583811818296147166235613,0.999993219462164186788789357705953,10003487113741191464208,0
