id,periodStartUnix,token0Price,token1Price,liquidity,feesUSD,token1PriceRatio
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450044,1620158400,0,0,0,0,0
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450068,1620244800,133.3782520516856292544645316227918,0.007497474173019513927565869881006603,1571553963114475945772,0,5.621211897509465e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450069,1620248400,148.9778683932830840763794001207138,0.006712406418382387524867054530104311,3197047465188571152922,0,4.505639992554107e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450070,1620252000,153.3055233391638043714725263639552,0.006522922189748251238840801073981892,3197047465188571152922,0,4.254851389351012e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450071,1620255600,150.0918361039293336289136951324085,0.006662587559443018037988400132918441,3096868575938942821027,0,4.4390072987244876e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450072,1620259200,149.4288671031702011545421632928333,0.006692147370089942592363899158916934,4157410792380619374721,0,4.478483642300174e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450073,1620262800,147.5659272331565666578321509591967,0.006776632104374499169044638077568368,4157410792380619374721,0,4.592274267803915e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450074,1620266400,153.0064382924944398880076776321238,0.006535672689069149348600417733336897,4538481689314709549680,0,4.2715017498644366e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450075,1620270000,151.3405215356917963230250286728934,0.006607615659393392057949928030904934,4538481689314709549680,0,4.366058470226077e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450076,1620273600,149.589016635419504785496713667135,0.006684982778095361985956716361230873,4538481689314709549680,0,4.4688994743431584e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450077,1620277200,159.5113569603578897075899923704187,0.006269146091262468419656525574793827,2479848448673558850496,0,3.930219271359149e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450078,1620280800,166.921193574261685779164304666297,0.005990851003321572255841450061699458,3320839547915312691422,0,3.589029574399909e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450079,1620284400,167.9348800148201921036516522332475,0.005954689102774541915171882053729454,3320839547915312691422,0,3.545832231070188e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450080,1620288000,158.5267018046947107190337556185257,0.006308085569281586876875978653772107,3320839547915312691422,0,3.97919435493786e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450081,1620291600,172.1845810904318772987585358370879,0.005807720956586681191090651126008014,3320839547915312691422,0,3.372962270957611e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450082,1620295200,173.0455923355440741864446577811648,0.005778823872387052158215977987563465,3320839547915312691422,0,3.3394805348070484e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450083,1620298800,174.0145086058655459791390687053915,0.005746647265286089922271979166317977,3320839547915312691422,0,3.3023954791620094e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450084,1620302400,175.5781767624779485255484055083974,0.005695468642169575527581237204466365,3320839547915312691422,0,3.2438363053936954e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450085,1620306000,180.2588621959300780875478788280757,0.005547577455099337729235562477555928,4129784585154529758918,0,3.077561562032645e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450086,1620309600,173.7213111028304805440927019950135,0.005756346148044393698010130751411271,4129784585154529758918,0,3.313552097610553e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450087,1620313200,168.3171418725506658118217239167856,0.005941165521674539780619498313429104,4129784585154529758918,0,3.5297447755934304e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450088,1620316800,173.4790788480426719359676356831804,0.005764383847552824323038939177045659,4129784585154529758918,0,3.3228121141927904e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450089,1620320400,182.0461368606605576070560679793725,0.005493112994566906419246826375902692,2428212454105531624980,0,3.0174290371079807e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450090,1620324000,177.5100568683561917006244060574255,0.005633483632657575223443502533229357,4129784585154529758918,0,3.173613783942079e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450091,1620327600,160.4071013500431657205618898168352,0.006234137962619139984495214576102349,5777645323671345186868,0,3.886447613696912e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450092,1620331200,161.9774111878125593325329405955422,0.00617370034912152989579104543674533,5858365013721056557526,0,3.8114576000743306e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450093,1620334800,163.919120196137780431695987767642,0.006100569590682574559419424200398601,5858365013721056557526,0,3.721694933076095e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450094,1620338400,163.2683085210460065862253573300951,0.006124887365211452412222861345966444,6459222547817599349169,0,3.751424523652689e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450095,1620342000,163.8788139944420454325809057867723,0.006102070033493865949099243648773473,6467959630556774660333,0,3.7235258693663826e-05
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e-450096,1620345600,160.2026344533949636605183442170691,0.006242094603574781074115763135134636,6467959630556774660333,0,3.896374503997741e-05
