id,periodStartUnix,token0Price,token1Price,liquidity,feesUSD,token1PriceRatio
0x5c128d25a21f681e678cb050e551a895c9309945-452542,1629151200,1577.581070462275625834585070218532,0.000633881845265151332777383385172011,93368575311928863434699,0,4.018061937567533e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452543,1629154800,1799.803821070632979925307739634181,0.0005556161112076865506170574594339439,34097263559021235787,0,3.0870926303355234e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452544,1629158400,2419.453243286394456527032790581004,0.0004133165221418699014996983988748053,47936964110400162980,0,1.7083054747545084e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452545,1629162000,1852.771445450136206212874405558699,0.0005397319796004558426961757750858169,1550881101866884884248,0,2.9131060980342686e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452546,1629165600,1773.167336657994914592652549044727,0.0005639625653632700912613370324420295,13943375611544001338958,0,3.180537751311207e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452547,1629169200,1868.868834917606209890874425055108,0.0005350830306098434772791437012530428,12456889556732695479508,0,2.863138496466147e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452548,1629172800,1984.575031991384596086318321010345,0.0005038862143683067273736208907659535,15684328721136466386709,0,2.539013170304231e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452549,1629176400,1906.078217392419891060760200233018,0.0005246374418821249412611175230084667,16048613316372817588116,0,2.7524444542462005e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452550,1629180000,1974.572200839936874700237262751637,0.0005064388122017636867633152254680546,22790451250683306630040,0,2.5648027050433327e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452551,1629183600,1883.683518982049144939472802247589,0.0005308747408590188209468828413733242,23366042982876012352463,0,2.818279904821304e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452552,1629187200,1833.833754509295007720037501325723,0.0005453057004437047400332358247740495,23381180719938846922038,0,2.9735830693639943e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452553,1629190800,1736.562719641469192257723155311543,0.000575850206093598530970015567784991,23515735775080059908090,0,3.316034598580399e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452554,1629194400,1716.202284043539937989625432949088,0.0005826818955420001447803829572895058,23515735775080059908090,0,3.3951819139241836e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452555,1629198000,1772.23723523597925353757421717304,0.0005642585428845516216952208424839127,23515735775080059908090,0,3.183877032181974e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452556,1629201600,1874.880835616659986703214471724488,0.0005333672311345023537672822063549968,23515735775080059908090,0,2.8448060324808566e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452557,1629205200,1852.505613630441050452518474167128,0.0005398094303424288602631853672152905,23515735775080059908090,0,2.913942210866175e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452558,1629208800,1815.670284186002949886612791227134,0.0005507607899461314686516830356499271,24141965345411714861045,0,3.0333744774208675e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452559,1629212400,1840.559024616610096675638766157881,0.000543313192690628757434448594152332,23515735775080059908090,0,2.951892253516843e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452560,1629216000,1829.848991212966341281744668632214,0.0005464931832091358331309078843179264,23515735775080059908090,0,2.986547992940541e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452561,1629219600,1827.483106983799893335719820710854,0.0005472006806401985030185769754711915,25345184443374929912459,0,2.994285848930965e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452562,1629223200,1813.538668486964178358373034926647,0.0005514081488178580065825209591443265,25500322260830301758930,0,3.0405094658273703e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452563,1629226800,1797.359266562071896219817885209638,0.000556371794222735573344191221248835,25558812294023406433427,0,3.09549573406626e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452564,1629230400,1895.22544452322209020315145380819,0.0005276417129633714436692279436908598,24998330757767397180257,0,2.7840577725892087e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452565,1629234000,1907.844744787610627275122392471971,0.0005241516652401001546868767385745136,29632308522480169923053,0,2.7473496817397003e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452566,1629237600,1910.169482598638106823720850950278,0.000523513755773952165123798954791067,29632308522480169923053,0,2.7406665248454927e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452567,1629241200,1888.318946632124374231108511582568,0.000529571554521301144900776285688037,24998330757767397180257,0,2.8044603135810743e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452568,1629244800,1882.746708386772339397941329935685,0.0005311388916764315852523465454197395,25064931624242634509124,0,2.8210852225126816e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452569,1629248400,1862.408844008657251759499372925185,0.0005369390309850523796316662932304985,25064931624242634509124,0,2.88303522995167e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452570,1629252000,1873.264395110854220181630760673292,0.0005338274739059581451494065077305729,43147299400621008943162,0,2.8497177189681647e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452571,1629255600,1888.855091803946936388225975492421,0.0005294212374147516952752553621070268,43147299400621008943162,0,2.802868466257669e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452572,1629259200,1882.742901882245748514303765081151,0.0005311399655259696148755678880893328,43147299400621008943162,0,2.821096629789282e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452573,1629262800,1865.343887785405388277333495461285,0.0005360941789598009620093494409285318,43147299400621008943162,0,2.873969687145831e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452574,1629266400,1890.968312988275975257125017210862,0.0005288295912371536451083984147732389,48851050594315790637435,0,2.79660736568055e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452575,1629270000,1885.334294510957643570464158063389,0.0005304099134627967471166339274117019,48851050594315790637435,0,2.8133467629961155e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452576,1629273600,1948.260025768186846165379468011481,0.0005132785083991579622070111556570226,47781277165333781685958,0,2.634548271844645e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452577,1629277200,1959.830445273758919437263861013936,0.0005102482219375436828248643970191413,47422718139490355450393,0,2.603532479904248e-07
0x5c128d25a21f681e678cb050e551a895c9309945-452578,1629280800,1984.684952487271103430388336360553,0.0005038583069553521796427155221258921,47445361681986274357929,0,2.5387319348791387e-07
