id,token0,token1,volumeUSD,createdAtTimestamp
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,UNI,WETH,4296011283.605405753201057482744276,1620157956
0x6c6bc977e13df9b0de53b251522280bb72383700,DAI,USDC,7181443762.93080360608231664706628,1620158293
0x7bea39867e4169dbe237d55c8242a8f2fcdcc387,USDC,WETH,802354561.1551711530467054630227094,1620158865
0xcbcdf9626bc03e24f779434178a73a0b4bad62ed,WBTC,WETH,21162690206.88019685524435917894065,1620158974
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,DAI,WETH,12433831437.69340603387180957663646,1620159368
0x7858e59e0c01ea06df3af3d20ac7b0003275d4bf,USDC,USDT,15383163756.26159291149087388973468,1620159478
0x886072a44bdd944495eff38ace8ce75c1eacdaf6,MKR,WETH,22104187.58181054768987347288750991,1620159675
0xf83d5aaab14507a53f97d3c18bdb52c4a62efc40,SOCKS,WETH,371177.5086681810413180044913006013,1620159876
0xd1d5a4c0ea98971894772dcd6d2f1dc71083c44e,LQTY,WETH,505495496.8183327134594147747783585,1620160120
0x6f48eca74b38d2936b02ab603ff4e36a6c0e3a77,DAI,USDT,2549644572.544939339702967815053326,1620162016
0xff2bdf3044c601679dede16f5d4a460b35cebfee,POOL,WETH,4901726.690030609913386225543371179,1620162137
0x04916039b1f59d9745bf6e0a21f191d1e0a84287,YFI,WETH,316108935.8885810930774481698412114,1620164244
0x5598931bfbb43eec686fa4b5b92b5152ebadc2f6,COMP,WETH,24955702.85241891963957520164141288,1620164375
0xea4ba4ce14fdd287f380b55419b1c5b6c3f22ab6,COMP,WETH,645076135.6796957246114232362909111,1620165723
0xdc7b403e2e967eaf6c97d79316d285b8a112fda7,FEI,WETH,11796359.42245985356782446224381498,1620166260
0x1470ee019f673d0a4ec2c7cd0322a8c17c4f1a61,DAI,UNI-V2,0,1620168375
0xbb2e5c2ff298fd96e166f90c8abacaf714df14f8,DAI,FEI,1613790735.722570606663057379929636,1620169433
0x8ad599c3a0ff1de082011efddc58f1908eb6e6d8,USDC,WETH,69823777587.42873070188203427768963,1620169800
0x1c74dde716d3f2a1df5097b7c2543c5d97cfa4d3,WBTC,UNI-V3-POS,0,1620170612
0xe8c6c9227491c0a8156a0106a0204d881bb7e531,MKR,WETH,1127076569.152193177868223133850219,1620175942
0x8581788cef3b7ee7313fea15fe279dc2f6c43899,FLX,WETH,15007753.97525574862242835758285179,1620176780
0x14de8287adc90f0f95bf567c0707670de52e3813,RAI,WETH,15764618.93537347814141609836651747,1620177708
0x0dc9877f6024ccf16a470a74176c9260beb83ab6,RAI,WETH,32317.29618385506916749153267177457,1620181858
0x151ccb92bc1ed5c6d0f9adb5cec4763ceb66ac7f,ETH2x-FLI,WETH,2733024233.212583928281460167033405,1620193312
0xcb0c5d9d92f4f2f80cce7aa271a1e148c226e19d,RAI,DAI,1043122028.99119857221207412738314,1620231914
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,WETH,USDT,29733053239.07389806492496283947215,1620232628
0x5ab53ee1d50eef2c1dd3d5402789cd27bb52c1bb,AAVE,WETH,560671381.1456684481763546882541532,1620236624
0xa6cc3c2531fdaa6ae1a3ca84c2855806728693e8,LINK,WETH,5353435269.916017256721848018229326,1620237038
0x3fe55d440adb6e07fa8e69451f5511d983882487,🐟,WETH,331733.9038209986974986419698719559,1620237603
0x60594a405d53811d3bc4766596efd80fd545a270,DAI,WETH,25679003931.16948339308123388670043,1620237823
0x2efec2097beede290b2eed63e2faf5ecbbc528fc,WETH,TRU,115856716.8836863273056463936951729,1620237966
0x788f0399b9f012926e255d9f22ceea845b8f7a32,WETH,PUSH,5705771.424171481185646376604124173,1620238284
0xbb256c2f1b677e27118b0345fd2b3894d2e6d487,USDC,USDT,219409.7174686085816306540013349418,1620239057
0x5447b274859457f11d7cc7131b378363bbee4e3a,NDX,WETH,8681117.595223560011044837099899567,1620239157
0x19e286157200418d6a1f7d1df834b82e65c920aa,SUSHI,WETH,2521112.05459040015494050317948059,1620239567
0xfaace66bd25abff62718abd6db97560e414ec074,WETH,RARI,141971137.4514637861468747477035352,1620239643
0x82bd0e16516f828a0616038002e152aa6f27aedc,cDAI,WETH,8920.244850031606866406842127959833,1620239699
0x2a84e2bd2e961b1557d6e516ca647268b432cba4,DAI,MKR,56859135.25415848429826797034601004,1620240133
0x32a2c4c25babedc810fa466ab0f0c742df3a3555,CFi,WETH,566389.0513818248612260162380513423,1620240175
0xefbd546647fda46067225bd0221e08ba91071584,RVP,WETH,123294602.9563791039471828224630283,1620240264
0x86e69d1ae728c9cd229f07bbf34e01bf27258354,WETH,TRU,421511860.0498669066475512895094964,1620240623
0x3482296547783cb714c49e13717cd163b2951ba8,Subs,DAI,117944.5957844153641943405746494915,1620240784
0xae614a7a56cb79c04df2aeba6f5dab80a39ca78e,BAT,WETH,279180889.4496409799963751745794649,1620240807
0x2552018fa2768fd0af10d32a4c38586a9bade6ce,BIRD,USDC,738114.1695049825375895911616327569,1620240827
0x07aa6584385cca15c2c6e13a5599ffc2d177e33b,FLUX,WETH,1764949.095552039156272237196136664,1620240854
0x3139bbba7f4b9125595cb4ebeefdac1fce7ab5f1,RUNE,WETH,412683114.5589261453255086731377341,1620240859
0x7ddc2c3d12a9212112e5f99602ab16c338ec1116,AGI,WETH,72992.78714445798083119292315290102,1620240931
0x3cec6746ebd7658f58e5d786e0999118fea2905c,NFTX,WETH,4990490.398922484066222717968106282,1620240957
0x85498e26aa6b5c7c8ac32ee8e872d95fb98640c4,WETH,BANANA,10065935.00281641772284661609444942,1620240982
0x5eb5dc3d8c74413834f1ca65c3412f48cd1c67a6,wSIENNA,WETH,94548.59372363035286618650707721118,1620241021
0x35815d67f717e7bce9cc8519bdc80323ecf7d260,BNT,WETH,7407581.274840576138365048871052227,1620241199
0x4628a0a564debfc8798eb55db5c91f2200486c24,RNDR,WETH,74623966.04542733765652145296713206,1620241290
0x2356b745747ed77191844c025eddc894fce5f5f6,UNI-V3,WETH,1056939.028502621933960870149548107,1620241375
0xede8dd046586d22625ae7ff2708f879ef7bdb8cf,SNX,WETH,239447329.1318630021730505955211128,1620241609
0xa80964c5bbd1a0e95777094420555fead1a26c1e,DAI,WETH,25691935.8894509799791695815366022,1620241619
0xbfa7b27ac817d57f938541e0e86dbec32a03ce53,WETH,WOA,1400353.707083304972051095463287792,1620241625
0xdceaf5d0e5e0db9596a47c0c4120654e80b1d706,AAVE,USDC,1101638.827694467655328280634684646,1620241687
0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,SHIB,WETH,2130538401.087308631014850465412853,1620241691
0xb2cd930798efa9b6cb042f073a2ccea5012e7abf,WETH,DOGE,712935.7014553675988820538589873764,1620241747
0x5c0f97e0ed70e0163b799533ce142f650e39a3e6,cDAI,WETH,0.000828622481030134180943596230984839,1620241749
0xf15054bc50c39ad15fdc67f2aedd7c2c945ca5f6,USDC,COMP,2220616.320355214992779794741813589,1620241765
0x28af48a3468bc4a00221cd35e10b746b9f945b14,CHONK,WETH,3272.26992843721234939284742556578,1620241768
0xc3881fbb90daf3066da30016d578ed024027317c,GLQ,WETH,12527989.07142045710328618092280974,1620241791
0xc2ceaa15e6120d51daac0c90540922695fcb0fc7,WETH,MNDCC,27681.13932387723678472863813995704,1620241796
0x99ac8ca7087fa4a2a1fb6357269965a2014abc35,WBTC,USDC,12289363980.28420966469784739513115,1620241995
0x632e675672f2657f227da8d9bb3fe9177838e726,RPL,WETH,413212152.2444962358313682850849826,1620242126
0xc9c3d642cfefc60858655d4549cb5acd5495e90e,REPv2,USDC,12535.81976,1620242126
0x57af956d3e2cca3b86f3d8c6772c03ddca3eaacb,PENDLE,WETH,172797.5552501640834628955021138752,1620242184
0x7f54b107fb1552292d8f2eb0c95c9ae14af1a181,WETH,VGT,235604.859103412058149098220748545,1620242276
0xbd5fdda17bc27bb90e37df7a838b1bfc0dc997f5,USDC,EURS,1016125954.155689143340542519020196,1620242362
0xb6873431c2c0e6502143148cae4fab419a325826,renDOGE,WETH,10512782.39031502698015395433605176,1620242454
0x45f199b8af62ab2847f56d0d2866ea20da0c9bbc,BANK,WETH,1056609.922932279666184034163498367,1620242473
0x9db9e0e53058c89e5b94e29621a205198648425b,WBTC,USDT,898374981.2992455401686462748410485,1620242513
0xd340b57aacdd10f96fc1cf10e15921936f41e29c,wstETH,WETH,375256727.2482952524729993559677796,1620242537
0x13236638051f7643c0006f92b72789684dc92477,WUSD,USDC,161806.493368,1620242658
0x44f6a8b9ff94ac5dbbafb305b185e940561c5c7f,YAXIS,WETH,38244.00780493048496517353373504819,1620242683
0x391e8501b626c623d39474afca6f9e46c2686649,WBTC,DAI,61802084.72283470962117714447161752,1620242800
0x9663f2ca0454accad3e094448ea6f77443880454,LUSD,WETH,0,1620242863
0xb13b2113dc40e8c2064f6d49577250d9f6131c28,WETH,ZCX,1082058.345720234601042089634610165,1620242902
